t,x,y,vx,vy,r,theta,omega
262000,-185640184.1971283,46510612.45947551,-4473.878022984365,-11136.158766575862,191066070.91404697,59.554598492213046,0.00037843172352569
262200,-186494777.0429297,44273313.24835226,-4272.9642290070615,-11186.496055616248,191377937.7569401,59.63022177775257,0.0003781164276976087
262400,-187309191.38814262,42026475.77899675,-4072.0717260645897,-11234.187346777555,191677928.1249638,59.705742686313826,0.0003776045428063021
262600,-188083433.19361916,39770624.81566532,-3871.2090273827166,-11279.254816657156,191966033.0498144,59.78112392010908,0.00037690616897628054
262800,-188817510.03049257,37506280.88796204,-3670.384184367102,-11321.719638516382,192242244.1611807,59.856330768997346,0.0003760342444413094
263000,-189511430.9936427,35233960.48880268,-3469.604815750527,-11361.601995796831,192506553.65509474,59.93133162278536,0.00037500426894006105
263200,-190165206.62077188,32954176.26977897,-3268.878135645975,-11398.921095118547,192758954.26408783,60.006098419431176,0.00037383398322910795
263400,-190778848.81688672,30667437.234027956,-3068.2109805742143,-11433.695178755082,192999439.22908306,60.08060702246795,0.00037254301518387697
263600,-191352370.78399307,28374248.92671165,-2867.6098355316617,-11465.941536581528,193228002.27296138,60.15483752315356,0.0003711525034280476
263800,-191885786.9558254,26075113.62321314,-2667.080859161637,-11495.676517492555,193444637.57574093,60.228774465022354,0.0003696847093439647
264000,-192379112.93744332,23770530.515155464,-2466.629908089611,-11522.915540288379,193649339.7513141,60.302406990567476,0.0003681626277256005
264200,-192832365.44953945,21460995.89435001,-2266.262560480705,-11547.67310402726,193842103.8256898,60.37572891163278,0.0003666096053265087
264400,-193245562.27731454,19147003.334781244,-2065.9841388755117,-11569.962797843835,194022925.21669197,60.44873870667939,0.00036504897523307776
264600,-193618722.2237862,16829043.87273463,-1865.7997323582913,-11589.797310233082,194191799.7150693,60.52143944937383,0.0003635037134721676
264800,-193951865.06740814,14507606.185174577,-1665.7142181096974,-11607.188437800261,194348723.46697342,60.59383867390475,0.00036199612265459737
265000,-194245011.52388704,12183176.766479073,-1465.7322823944567,-11622.14709347752,194493692.95776716,60.66594818307773,0.00036054754586489806
265200,-194498183.2120936,9856240.103637425,-1265.858441032819,-11634.683314208238,194626704.99712592,60.7377838055818,0.0003591781125203537
265400,-194711402.6239742,7527278.850017333,-1066.097059403124,-11644.806268100458,194747756.70540002,60.809365108903044,0.0003579065166062349
265600,-194884693.0983785,5196773.997807129,-866.4523720214886,-11652.524261051021,194856845.50120714,60.88071507422228,0.0003567498265961822
265800,-195018078.79872718,2865205.0492386958,-666.9285017434021,-11657.844742842168,194953969.09022772,60.95185973932504,0.0003557233255138018
266000,-195111584.69445336,533050.1866961792,-467.52947863091674,-11660.774312712583,195039125.45517823,61.02282781512359,0.0003548403789927552
266200,-195165236.546159,-1799213.5581848156,-268.25925852814805,-11661.318724404975,195112312.84694052,61.093650280892035,0.00035411232884220825
266400,-195179060.8944364,-4131110.1363232858,-69.12174138692927,-11659.48289069235,195173529.77682748,61.16435996279309,0.0003535484095052991
266600,-195153085.05231312,-6462164.313800341,129.87921061628253,-11655.270887385279,195222775.0099679,61.2349910997701,0.00035315568488501406
266800,-195087337.10128677,-8791901.505164832,328.7397551317946,-11648.685956822452,195260047.5597963,61.305578900424905,0.0003529390032740389
267000,-194981845.89092347,-11119847.607334215,527.4560518164403,-11639.730510846912,195285346.6836353,61.376159094130784,0.00035290096852938924
267200,-194836641.04200304,-13445528.833988287,726.0242446022212,-11628.40613327036,195298671.87936065,61.44676747935964,0.0003530419261442983
267400,-194651752.9532001,-15768471.550353881,924.4404440146573,-11614.71358182797,195300022.8831424,61.51743947205046,0.00035335996345410114
267600,-194427212.8112997,-18088202.10827911,1122.700709501893,-11598.65278962615,195289399.66825637,61.58820965681749,0.0003538509238351306
267800,-194163052.60495257,-20404246.681496263,1320.8010317357239,-11580.222866085775,195266802.44496343,61.65911134389383,0.0003545084353816915
268000,-193859305.14198342,-22716131.100972928,1518.737314845717,-11559.422097383338,195232231.6614573,61.730176134922225,0.0003553239551419868
268200,-193516004.0702739,-25023380.690251455,1716.505358547518,-11536.247946392636,195185688.00588128,61.80143350102731,0.00035628683052543736
268400,-193133183.90224865,-27325520.10067736,1914.1008401262372,-11510.697052129532,195127172.40941998,61.87291037701275,0.0003573843799271932
268600,-192710880.04300153,-29622073.14641786,2111.519296235524,-11482.765228702496,195056686.0504718,61.94463077599618,0.00035860199491715425
268800,-192249128.82210702,-31912562.63917219,2308.756104472535,-11452.447463771636,194974230.35991156,62.01661542929178,0.00035992326647800996
269000,-191747967.52916932,-34196510.22247601,2505.8064646885023,-11419.73791651911,194879807.0274552,62.08888145683573,0.0003613301377197427
269200,-191207434.4531705,-36473436.205502786,2702.6653799940154,-11384.629915133874,194773418.00914025,62.161442073879996,0.00036280308522134433
269400,-190627568.92568702,-38742859.396265574,2899.327637417396,-11347.11595381393,194655065.53593814,62.234306340007194,0.0003643213306359772
269600,-190008411.36805227,-41004296.934123464,3095.787788173752,-11307.187689289454,194524752.1235186,62.30747895669429,0.00036586308343549415
269800,-189350003.342552,-43257264.121497534,3292.0401275013464,-11264.83593687036,194382480.58318615,62.3809601196282,0.0003674058146695423
270000,-188652387.60774782,-45501274.25470198,3488.0786740208946,-11220.05066602223,194228254.03401396,62.454745431707245,0.0003689265603952468
270200,-187915608.17803338,-47735838.453796946,3683.897148572226,-11172.820995474814,194062075.91620144,62.52882588211448,0.0003704022520361888
270400,-187139710.3875371,-49960465.49137049,3879.4889524814957,-11123.135187867743,193883950.00568554,62.60318789599734,0.00037181006941427086
270600,-186324740.95849496,-52174661.6201582,4074.8471452107206,-11070.980643938541,193693880.43003753,62.6778134581262,0.0003731278106443323
270800,-185470748.07422698,-54377930.39940991,4269.964421339905,-11016.34389625856,193491871.68568155,62.75268031244308,0.00037433427158439466
271000,-184577781.4568609,-56569772.51991452,4464.833086830375,-10959.210602523066,193277928.6564724,62.82776223768318,0.00037540962620048187
271200,-183645892.44995767,-58749685.62759501,4659.445034516161,-10899.565538402412,193052056.6336748,62.90302939731193,0.0003763357981437402
